aX,aY,aZ,gX,gY,gZ
-0.466,0.213,-0.824,22.339,1.526,-5.188
-0.441,0.191,-0.867,18.982,4.944,-5.615
-0.440,0.162,-0.898,18.127,6.775,-4.333
-0.459,0.176,-0.903,20.081,6.836,-1.709
-0.473,0.198,-0.879,24.902,4.578,1.099
-0.477,0.222,-0.848,28.931,2.075,3.906
-0.491,0.242,-0.828,29.541,1.953,5.676
-0.493,0.257,-0.831,28.137,3.662,5.005
-0.491,0.256,-0.842,26.489,5.249,3.479
-0.429,0.955,1.315,-31.982,27.954,-27.710
-0.423,1.025,1.426,-42.480,25.940,-25.146
-0.414,1.095,1.568,-52.917,20.813,-23.987
-0.382,1.165,1.699,-66.833,16.907,-20.935
-0.352,1.257,1.831,-84.839,13.306,-15.625
-0.315,1.315,1.972,-103.638,7.812,-9.338
-0.319,1.324,2.070,-128.296,4.028,-4.944
-0.356,1.309,2.068,-160.156,4.761,-3.967
-0.337,1.295,1.985,-192.017,6.470,-7.690
-0.273,1.270,1.884,-216.675,8.484,-11.475
-0.202,1.190,1.754,-234.741,8.728,-8.789
-0.161,1.091,1.580,-250.122,3.357,2.625
-0.163,0.977,1.422,-259.644,-7.751,21.240
-0.190,0.855,1.269,-261.658,-22.583,40.649
-0.246,0.756,1.146,-260.071,-38.269,55.786
-0.326,0.700,1.115,-258.667,-49.866,61.157
-0.354,0.613,1.074,-259.216,-53.223,52.979
-0.351,0.549,0.967,-266.785,-47.974,37.964
-0.315,0.528,0.819,-275.391,-39.551,25.146
-0.274,0.485,0.673,-279.602,-32.837,17.883
-0.245,0.457,0.580,-280.090,-29.297,15.320
-0.190,0.414,0.497,-277.283,-27.527,15.320
-0.170,0.347,0.383,-274.658,-28.259,20.508
-0.153,0.338,0.313,-269.714,-32.471,29.968
-0.109,0.279,0.282,-260.315,-37.354,40.039
-0.136,0.218,0.234,-256.104,-41.321,49.927
-0.181,0.204,0.206,-254.639,-43.640,58.044
-0.193,0.164,0.165,-249.451,-41.687,58.105
-0.199,0.138,0.106,-245.972,-39.429,55.237
-0.223,0.158,0.073,-244.995,-36.560,53.955
-0.227,0.163,0.070,-240.356,-33.508,52.002
-0.218,0.192,0.053,-235.779,-33.386,49.438
-0.179,0.224,0.071,-231.262,-34.851,50.110
-0.160,0.245,0.127,-225.708,-38.696,55.237
-0.122,0.236,0.168,-225.525,-43.762,63.965
-0.131,0.226,0.113,-231.445,-48.584,72.266
-0.113,0.194,0.001,-237.000,-55.115,80.017
-0.094,0.093,-0.162,-240.723,-58.777,83.984
-0.108,-0.039,-0.342,-242.310,-58.289,87.280
-0.161,-0.227,-0.561,-238.708,-54.993,88.135
-0.240,-0.324,-0.740,-227.234,-54.016,88.623
-0.310,-0.397,-0.774,-206.299,-54.321,85.327
-0.318,-0.481,-0.774,-185.791,-51.270,75.989
-0.322,-0.524,-0.871,-176.392,-42.786,67.871
-0.310,-0.530,-1.028,-168.518,-38.086,65.247
-0.305,-0.518,-1.109,-153.809,-41.565,67.261
-0.310,-0.490,-1.115,-136.719,-45.349,70.740
-0.326,-0.478,-1.095,-123.108,-43.457,72.571
-0.338,-0.439,-1.125,-113.708,-40.100,74.463
-0.374,-0.477,-1.193,-102.844,-41.016,76.721
-0.434,-0.425,-1.310,-89.355,-42.542,75.928
-0.446,-0.287,-1.266,-68.909,-43.823,68.726
-0.387,-0.264,-1.160,-48.157,-37.415,50.781
-0.312,-0.170,-1.106,-42.664,-21.851,33.936
-0.225,-0.174,-1.153,-42.969,-7.996,24.475
-0.202,-0.159,-1.261,-40.100,-2.808,27.405
-0.213,-0.150,-1.315,-28.137,-9.033,38.696
-0.238,-0.164,-1.298,-9.705,-15.198,49.011
-0.315,-0.105,-1.202,5.920,-16.052,56.458
-0.374,-0.056,-1.066,16.418,-12.695,57.068
-0.480,0.015,-1.010,16.541,-4.700,51.208
-0.582,0.132,-0.956,14.221,1.648,42.419
-0.615,0.192,-0.899,14.893,4.333,29.175
-0.652,0.222,-0.860,13.794,7.629,16.479
-0.651,0.246,-0.844,12.390,10.010,8.301
-0.615,0.254,-0.831,12.634,9.155,4.395
-0.605,0.250,-0.841,12.329,5.554,5.249
-0.581,0.280,-0.842,12.268,0.305,8.789
-0.553,0.294,-0.819,13.000,-5.127,10.498
-0.551,0.302,-0.811,10.559,-8.972,8.911
-0.533,0.329,-0.799,6.104,-8.789,5.554
-0.525,0.329,-0.785,1.343,-7.385,1.465
-0.520,0.341,-0.800,-3.540,-6.165,-1.282
-0.511,0.324,-0.802,-6.653,-5.737,-2.563
-0.495,0.312,-0.832,-8.789,-4.333,-3.601
-0.473,0.283,-0.887,-9.583,0.061,-4.883
-0.439,0.228,-0.927,-6.653,0.549,-4.883
-0.370,0.208,-0.941,-1.892,-1.404,3.113
-0.379,0.192,-0.931,0.366,-3.174,7.935
-0.385,0.171,-0.933,0.488,-3.601,6.042
-0.437,0.206,-0.892,-0.305,-2.869,2.136
-0.444,0.211,-0.863,0.305,-2.075,0.793
-0.446,0.237,-0.872,-0.183,0.305,1.953
-0.469,0.248,-0.879,0.549,2.808,3.723
-0.486,0.259,-0.862,3.662,3.418,5.066
-0.500,0.267,-0.838,6.104,2.563,4.517
-0.514,0.257,-0.825,6.287,2.747,2.563
-0.512,0.257,-0.822,4.883,3.662,0.122
-0.489,0.250,-0.844,3.967,5.554,-2.197
-0.461,0.267,-0.839,4.333,6.714,-2.258
-0.435,0.278,-0.820,5.554,5.493,-0.427
-0.430,0.310,-0.816,5.371,4.028,3.845
-0.447,0.330,-0.803,5.554,1.221,8.423
-0.478,0.348,-0.768,6.104,-2.441,11.108
-0.489,0.344,-0.757,4.456,-2.686,10.864
-0.514,0.323,-0.786,1.404,-0.427,8.728
-0.515,0.286,-0.831,0.427,-0.061,5.798
-0.494,0.242,-0.853,2.686,-0.916,3.296
-0.463,0.208,-0.856,5.005,-0.488,1.953
-0.434,0.201,-0.865,6.042,0.488,1.953
-0.421,0.212,-0.882,6.409,1.465,3.296
-0.414,0.226,-0.883,7.690,1.343,5.493
-0.434,0.260,-0.860,9.155,0.854,6.836
-0.445,0.296,-0.826,9.644,1.526,7.874
-0.469,0.313,-0.806,9.277,2.258,7.507
-0.500,0.327,-0.796,7.996,1.831,7.751
-0.516,0.310,-0.799,7.446,0.305,6.226
-0.502,0.303,-0.823,6.714,0.061,3.479
-0.476,0.275,-0.852,6.836,0.366,1.343
-0.439,0.239,-0.884,8.545,-0.244,1.709
-0.410,0.239,-0.903,11.475,-2.441,5.615
-0.422,0.198,-0.884,17.090,-5.615,11.475
-0.466,0.177,-0.836,20.752,-9.155,20.386
-0.525,0.186,-0.834,19.348,-10.193,26.794
-0.572,0.208,-0.857,16.907,-8.789,26.733
-0.567,0.228,-0.883,16.357,-6.775,20.569
-0.521,0.249,-0.893,17.273,-4.944,11.719
-0.471,0.254,-0.881,18.677,-3.601,4.089
-0.434,0.240,-0.886,18.372,-1.465,-0.427
-0.783,0.804,1.293,22.644,47.852,-46.936
-0.826,0.918,1.549,18.188,45.715,-51.453
-0.883,1.038,1.823,7.324,42.542,-53.223
-0.913,1.182,2.093,-12.085,40.527,-56.030
-0.908,1.278,2.305,-37.964,40.527,-60.608
-0.884,1.334,2.423,-73.730,41.016,-64.392
-0.853,1.397,2.460,-113.770,41.992,-68.542
-0.769,1.463,2.515,-148.682,41.260,-75.073
-0.661,1.466,2.587,-176.880,38.025,-80.566
-0.541,1.482,2.656,-203.918,29.358,-76.599
-0.425,1.496,2.781,-228.271,14.832,-59.937
-0.336,1.369,2.847,-255.066,-2.136,-36.194
-0.292,1.123,2.679,-293.701,-16.235,-9.949
-0.257,0.933,2.275,-334.534,-31.677,16.113
-0.265,0.793,1.895,-356.812,-49.438,37.903
-0.279,0.637,1.683,-355.835,-69.702,49.133
-0.288,0.432,1.553,-349.121,-85.205,48.950
-0.277,0.269,1.366,-355.286,-88.928,42.969
-0.167,0.091,1.059,-367.676,-84.839,37.476
-0.171,-0.128,0.707,-377.991,-82.581,38.513
-0.203,-0.219,0.394,-376.038,-89.783,47.302
-0.222,-0.233,0.254,-358.826,-99.609,50.720
-0.215,-0.221,0.325,-333.618,-101.685,44.373
-0.150,-0.343,0.368,-314.331,-91.125,33.203
-0.180,-0.330,0.296,-315.430,-79.712,28.564
-0.165,-0.303,0.225,-317.383,-75.195,25.085
-0.147,-0.314,0.141,-313.782,-70.740,19.958
-0.089,-0.231,0.095,-309.937,-65.125,18.860
-0.044,-0.222,0.047,-302.917,-60.242,21.362
0.017,-0.236,-0.056,-295.044,-62.378,31.738
0.033,-0.250,-0.170,-287.415,-70.251,46.936
0.024,-0.242,-0.246,-276.306,-78.308,61.523
-0.006,-0.281,-0.272,-261.597,-83.252,69.580
-0.059,-0.300,-0.337,-252.991,-80.200,69.702
-0.110,-0.278,-0.423,-246.216,-73.242,65.063
-0.120,-0.277,-0.496,-236.511,-65.430,55.542
-0.095,-0.282,-0.549,-225.647,-54.810,46.082
-0.085,-0.265,-0.538,-216.736,-44.556,42.053
-0.071,-0.234,-0.521,-209.045,-37.292,44.556
-0.069,-0.205,-0.566,-203.552,-34.851,55.115
-0.096,-0.192,-0.695,-195.923,-39.551,71.899
-0.153,-0.147,-0.774,-180.664,-52.368,89.966
-0.192,-0.274,-0.825,-161.743,-63.660,97.717
-0.261,-0.376,-0.910,-150.452,-61.523,94.910
-0.271,-0.515,-1.042,-144.958,-48.767,88.806
-0.247,-0.662,-1.224,-137.817,-36.072,80.261
-0.239,-0.843,-1.444,-126.099,-29.236,72.571
-0.225,-0.933,-1.646,-106.812,-26.917,66.711
-0.135,-0.862,-1.764,-76.416,-29.297,65.491
-0.158,-0.806,-1.690,-32.043,-34.302,69.519
-0.219,-0.595,-1.475,5.493,-36.987,70.801
-0.265,-0.403,-1.251,29.114,-34.668,67.871
-0.380,-0.260,-1.114,36.194,-25.635,60.181
-0.473,-0.151,-1.073,33.203,-11.292,47.852
-0.536,-0.049,-1.061,29.785,2.747,28.870
