aX,aY,aZ,gX,gY,gZ
0.179,-0.732,0.664,-54.260,6.714,51.697
0.217,-0.722,0.653,-56.946,6.042,49.683
0.213,-0.679,0.692,-56.946,3.906,49.622
0.198,-0.641,0.746,-56.091,3.052,51.514
0.181,-0.621,0.768,-54.749,4.395,53.711
0.183,-0.628,0.762,-53.955,7.568,55.054
0.200,-0.646,0.736,-53.406,10.620,55.725
0.216,-0.667,0.707,-52.673,12.146,56.213
0.230,-0.671,0.718,-52.368,12.207,58.167
0.229,-0.647,0.755,-51.697,11.780,59.692
0.206,-0.642,0.771,-54.260,10.437,58.777
0.207,-0.610,0.786,-59.143,8.240,54.626
-0.380,1.551,0.891,76.965,22.766,-106.506
-0.433,1.713,0.882,93.445,29.846,-115.112
-0.438,1.941,0.930,109.802,35.217,-117.126
-0.489,2.212,0.930,125.793,38.086,-114.075
-0.611,2.498,0.906,146.240,38.879,-110.168
-0.691,2.680,0.832,180.420,43.701,-113.281
-0.786,2.725,0.721,218.872,50.293,-128.967
-0.868,2.748,0.593,253.723,52.185,-157.898
-0.925,2.699,0.427,286.194,52.795,-194.214
-1.015,2.466,0.185,318.665,57.800,-231.934
-1.028,1.941,-0.160,354.187,65.552,-269.775
-0.746,0.846,-0.582,381.470,61.279,-306.396
-0.219,-0.423,-0.850,391.541,31.372,-331.482
0.330,-1.301,-0.774,388.000,-26.428,-324.463
0.087,-1.446,-0.587,347.595,-90.454,-276.245
-0.366,-1.518,-0.758,281.250,-124.573,-215.454
-0.716,-1.466,-1.273,241.699,-117.065,-174.744
-0.785,-1.628,-1.851,254.028,-93.994,-169.189
-0.821,-2.170,-1.954,310.913,-87.463,-193.298
-0.776,-2.934,-1.646,363.953,-99.976,-235.779
-0.843,-3.567,-1.057,384.705,-123.169,-282.043
-0.945,-3.999,-0.348,371.948,-133.667,-310.669
-0.988,-4.000,0.335,332.031,-111.267,-308.228
-0.782,-4.000,0.870,281.189,-49.255,-266.418
-0.123,-3.640,1.009,223.328,48.706,-192.993
0.714,-2.854,0.662,153.198,155.457,-102.295
1.367,-2.115,0.049,84.778,223.572,-16.235
1.788,-1.569,-0.415,35.339,220.703,35.278
1.745,-1.222,-0.506,3.235,149.475,36.926
1.217,-1.122,-0.279,-15.991,44.495,10.742
0.654,-1.244,0.062,-24.658,-36.499,-13.000
0.111,-1.292,0.398,-29.724,-70.862,-18.555
-0.306,-1.322,0.654,-32.471,-67.505,-7.568
-0.381,-1.219,0.725,-32.654,-36.865,7.080
-0.389,-0.994,0.619,-42.114,-3.052,20.508
-0.302,-0.753,0.463,-50.720,20.508,30.212
-0.086,-0.602,0.319,-52.612,28.320,34.241
0.039,-0.545,0.223,-52.124,21.057,27.466
0.143,-0.607,0.209,-43.762,6.775,7.568
